Predicted,Original,Error(%)
19.59068534399354,10.0,48.9553334944151
18.175604792585734,17.0,6.468036722856624
14.713400162531059,18.0,22.337459738494374
25.14330306622492,14.0,44.31916935048106
15.753672328596638,0.0,100.0
47.774674073448985,56.0,17.216916883421046
25.809199603353324,20.0,22.508251680143346
20.997411648600668,21.0,0.01232700221650704
7.300757686726887,6.9,5.489261579732778
40.299892125785455,51.0,26.55120723603177
10.41684431737839,8.0,23.201309760830117
8.28184699797005,6.0,27.55239258258876
13.810957903088124,18.0,30.331292921942865
2.973769555048316,4.0,34.509413925821505
15.746287994837827,14.0,11.09015658427129
14.183610712734513,13.0,8.344918206700557
8.131084031125974,6.8,16.370314536543397
8.131084031125974,10.0,22.98483156390677
1.7192519036053564,1.0,41.835166917486006
4.802084133056887,4.0,16.702833828658896
4.439787124839872,7.2,62.169937376438526
4.439787124839872,2.0,54.95279517321152
2.9140197299392514,4.0,37.26743024088543
1.5470892954884337,1.0,35.36248987591317
6.341270549716444,4.0,36.92115848646666
8.662471392969572,7.0,19.191652330521137
8.662471392969572,12.1,39.68300097152774
4.733385266875424,1.0,78.87347123425441
0.881925317776763,2.0,126.77657163100619
0.881925317776763,1.6,81.42125730480497
8.957482694874424,11.3,26.151513599529398
8.957482694874424,6.0,33.016895433878204
7.139214689048358,3.0,57.97857144425092
1.2565559075479922,5.9,369.53740494627846
10.952612894302193,13.0,18.6931385730149
1.0038999724911446,1.2,19.533821384837736
8.670367191268879,4.0,53.86585237095808
11.64498729691281,10.0,14.126140758856048
9.490132643532595,6.0,36.77643690165992
9.490132643532595,10.8,13.802413577012155
4.610942166787032,4.0,13.24983364978409
1.1234851266320132,1.2,6.810492774155658
1.1234851266320132,2.0,78.0174879569261
1.0688986843231671,1.3,21.620507075763463
12.128602260238319,11.0,9.305295334304601
8.677065360898231,8.0,7.802930285039858
18.23916101686582,9.0,50.65562504943255
23.952648945640032,29.0,21.07220402142081
4.9135552013898725,3.0,38.944412405270114
4.9135552013898725,5.7,16.005616429986784
19.32728844894407,28.0,44.87288309462652
0.8447795119295555,0.7,17.13814195124898
0.36277155735069905,0.4,10.262227535471157
0.36277155735069905,1.0,175.65556883867785
1.088474023816115,1.0,8.128262308541935
5.380225283284659,6.2,15.236810236594103
0.8186219301258083,1.0,22.156512450908437
1.2197915604806095,0.7,42.613146157184985
9.190049813738723,7.0,23.830663142485843
12.408650474227912,12.0,3.293270892565283
4.032788664232119,3.0,25.609788913369
0.3702126552954435,0.7,89.08051628904308
12.287293824095592,6.0,51.16906874779947
8.750617791546414,2.0,77.14447085173676
8.750617791546414,11.2,27.99096323027415
3.542022793519827,3.0,15.302634260611313
2.2252510284654456,1.0,55.06124984516423
2.2252510284654456,3.6,61.779500557408774
2.570485243989783,1.0,61.09683950381881
