Predicted,Original
-4.516672316649906,5.0
3.000000000000009,3.0
2.000000000000015,2.0
3.0000000000000053,3.0
7.000000000000007,7.0
1.1546319456101628e-14,0.0
2.0000000000000067,2.0
0.16578851873983158,5.0
0.9999999999999969,1.0
10.777179625759645,0.0
1.0000000000000207,1.0
-1.6741096953691734,7.0
3.9999999999999973,4.0
2.369033905297675,0.7
0.999999999999998,1.0
5.000000000000007,5.0
0.5999999999999774,0.6
0.5999999999999774,2.0
4.949889196901042,2.0
2.0000000000000053,2.0
2.0999999999999974,1.2
2.0999999999999974,3.0
0.9999999999999969,1.0
0.9999999999999885,1.0
6.790704383510756,1.0
1.6499999999999988,2.0
1.6499999999999988,1.3
0.8000000000000056,0.8
2.9999999999999982,3.0
2.9999999999999982,0.4
5.000000000000011,2.2
5.000000000000011,5.0
4.999999999999993,5.0
2.499999999999992,2.5
4.017596620673851,0.0
0.6000000000000059,0.6
-1.8442453803731569,2.0
6.000000000000008,6.0
6.000000000000009,6.0
6.000000000000009,2.7
-1.8219748952809969,5.0
2.9999999999999787,1.1
2.9999999999999787,3.0
0.5999999999999877,0.6
6.000000000000011,6.0
11.203978936309227,7.0
7.00000000000002,7.0
6.661338147750939e-15,0.0
5.950000000000006,9.0
5.950000000000006,2.9
-1.554312234475219e-14,0.0
-5.167293210123204,1.2
-6.607700747962232,0.9
-6.607700747962232,3.0
6.665033824251147,1.4
1.3999999999999981,1.4
1.1999999999999853,1.2
0.7999999999999683,0.8
5.0000000000000036,5.0
4.733799788935159,4.0
1.0000000000000064,1.0
0.7999999999999656,0.8
6.00000000000001,6.0
3.3000000000000105,4.0
3.3000000000000105,2.6
6.964683529549295,5.0
3.000000000000004,3.0
3.000000000000004,0.9
2.9999999999999756,3.0
